FREQ_MHz	SENS_DB	SENS_VPERPA	SENS_V2CM2PERW	CAP_PF
2.8	-253.65	2.08E-07	6.47E-04	197.036
2.85	-253.63	2.08E-07	6.51E-04	197.059
2.9	-253.7	2.07E-07	6.40E-04	197.086
2.95	-253.73	2.06E-07	6.36E-04	197.115
3	-253.74	2.06E-07	6.34E-04	197.148
3.05	-253.67	2.07E-07	6.44E-04	197.184
3.1	-253.54	2.10E-07	6.64E-04	197.223
3.15	-253.45	2.13E-07	6.79E-04	197.264
3.2	-253.47	2.12E-07	6.75E-04	197.309
3.25	-253.49	2.12E-07	6.72E-04	197.356
3.3	-253.58	2.10E-07	6.58E-04	197.406
3.35	-253.66	2.07E-07	6.46E-04	197.459
3.4	-253.74	2.06E-07	6.34E-04	197.515
3.45	-253.78	2.05E-07	6.28E-04	197.574
3.5	-253.84	2.03E-07	6.19E-04	197.635
3.55	-253.9	2.02E-07	6.12E-04	197.698
3.6	-253.93	2.01E-07	6.07E-04	197.765
3.65	-253.9	2.02E-07	6.11E-04	197.834
3.7	-253.81	2.04E-07	6.23E-04	197.905
3.75	-253.73	2.06E-07	6.35E-04	197.979
3.8	-253.69	2.07E-07	6.41E-04	198.055
3.85	-253.62	2.08E-07	6.51E-04	198.134
3.9	-253.5	2.12E-07	6.71E-04	198.216
3.95	-253.39	2.14E-07	6.87E-04	198.299
4	-253.33	2.16E-07	6.97E-04	198.385
4.05	-253.34	2.15E-07	6.96E-04	198.473
4.1	-253.36	2.15E-07	6.92E-04	198.564
4.15	-253.45	2.13E-07	6.78E-04	198.657
4.2	-253.64	2.08E-07	6.49E-04	198.752
4.25	-253.83	2.04E-07	6.21E-04	198.849
4.3	-253.82	2.04E-07	6.23E-04	198.949
4.35	-253.61	2.09E-07	6.53E-04	199.05
4.4	-253.48	2.12E-07	6.74E-04	199.154
4.45	-253.46	2.12E-07	6.76E-04	199.26
4.5	-253.43	2.13E-07	6.81E-04	199.367
4.55	-253.38	2.14E-07	6.89E-04	199.477
4.6	-253.39	2.14E-07	6.87E-04	199.589
4.65	-253.4	2.14E-07	6.85E-04	199.703
4.7	-253.39	2.14E-07	6.87E-04	199.819
4.75	-253.4	2.14E-07	6.85E-04	199.937
4.8	-253.38	2.14E-07	6.88E-04	200.056
4.85	-253.37	2.15E-07	6.90E-04	200.178
4.9	-253.36	2.15E-07	6.92E-04	200.301
4.95	-253.3	2.16E-07	7.02E-04	200.427
5	-253.26	2.17E-07	7.08E-04	200.554
5.05	-253.21	2.18E-07	7.16E-04	200.683
5.1	-253.16	2.20E-07	7.25E-04	200.813
5.15	-253.1	2.21E-07	7.35E-04	200.946
5.2	-253.1	2.21E-07	7.36E-04	201.08
5.25	-253.15	2.20E-07	7.27E-04	201.216
5.3	-253.13	2.21E-07	7.29E-04	201.354
5.35	-253.11	2.21E-07	7.34E-04	201.493
5.4	-253.12	2.21E-07	7.31E-04	201.634
